state_abb,state_name,state_biden_2020,state_trump_2020,state_clinton_2016,state_trump_2016,state_clinton_2016_margin,state_vap_turnout_2020,state_vap_turnout_2016,total_votes_2020,state_voterreg_2018,state_dem_gallup_2016,state_rep_gallup_2016,state_median_income,state_white_evangel,state_gallup_conservative,state_gallup_liberal,state_urbanicity
AL,Alabama,0.3656999,0.6203164,0.343579458,0.620830924,-0.28,0.605856901,0.56,"2,323,282.00",0.69,0.348,0.518,48123,0.31,0.46,0.14,9.94945782
AK,Alaska,0.4277195,0.5283314,0.365508713,0.512815121,-0.15,0.655759607,0.57,"359,530.00",0.677,0.369,0.454,73181,0.21,0.4,0.17,9.910400136
AZ,Arizona,0.4936469,0.4905598,0.451260218,0.486716165,-0.04,0.589907909,0.49,"3,387,326.00",0.686,0.414,0.417,56581,0.15,0.37,0.21,11.53055063
AR,Arkansas,0.3477506,0.6239573,0.336531241,0.605741022,-0.27,0.524918664,0.49,"1,219,069.00",0.585,0.343,0.486,45869,0.34,0.41,0.15,9.736944986
CA,California,0.6348398,0.3432074,0.617263996,0.316171065,0.3,0.577709663,0.47,"17,500,871.00",0.615,0.503,0.32,71805,0.07,0.29,0.29,12.23909067
CO,Colorado,0.5540002,0.4189828,0.481569804,0.432513974,0.05,0.717150141,0.65,"3,256,952.00",0.656,0.424,0.43,69117,0.15,0.33,0.26,11.39729392
CT,Connecticut,0.5923894,0.3920965,0.545663011,0.409269144,0.14,0.655413629,0.58,"1,824,273.00",0.68,0.511,0.328,74168,0.06,0.3,0.27,11.39614741
DE,Delaware,0.5874301,0.3977488,0.533533368,0.419228243,0.11,0.652185453,0.59,"504,346.00",0.663,0.534,0.341,62852,0.07,0.29,0.24,11.02728387
DC,District of Columbia,0.9214969,0.0539732,0.908638215,0.040874745,0.86,0.595278605,0.55,"344,356.00",0.776,0.72,0.13,82372,0.1,0.2,0.5,13.44902351
FL,Florida,0.4786145,0.5121982,0.478233158,0.490219414,-0.01,0.635275508,0.57,"11,067,456.00",0.627,0.425,0.414,52594,0.14,0.36,0.22,11.52732404
GA,Georgia,0.4949527,0.4925958,0.45889341,0.510487192,-0.05,0.605747501,0.53,"4,997,716.00",0.662,0.419,0.431,56183,0.24,0.39,0.19,10.76425095
HI,Hawaii,0.6373364,0.3426886,0.622214917,0.30038677,0.32,0.520234624,0.38,"574,469.00",0.539,0.498,0.311,77765,0.05,0.22,0.28,11.19555841
ID,Idaho,0.3309626,0.638952,0.274920138,0.592614324,-0.32,0.634460663,0.55,"867,231.00",0.606,0.294,0.556,52225,0.43,0.4,0.17,10.31290608
IL,Illinois,0.5754164,0.4055344,0.558253667,0.387617531,0.17,0.61529079,0.56,"6,033,744.00",0.678,0.515,0.336,62992,0.11,0.31,0.27,11.70853277
IN,Indiana,0.4096166,0.5702117,0.377748397,0.569400335,-0.19,0.588458087,0.54,"3,033,112.00",0.653,0.372,0.452,54181,0.27,0.39,0.17,10.55831595
IA,Iowa,0.4489172,0.5308932,0.417404892,0.511473272,-0.09,0.696848096,0.65,"1,690,871.00",0.74,0.395,0.453,58570,0.19,0.35,0.21,9.917997387
KS,Kansas,0.4155955,0.5621251,0.360523707,0.566545818,-0.21,0.618523486,0.54,"1,372,303.00",0.715,0.339,0.508,56422,0.23,0.39,0.18,10.41095067
KY,Kentucky,0.3615151,0.6208657,0.326821883,0.625196386,-0.3,0.618222189,0.56,"2,136,768.00",0.735,0.399,0.491,48375,0.35,0.39,0.2,10.08189389
LA,Louisiana,0.3985146,0.5846088,0.384495661,0.580886847,-0.2,0.612773742,0.57,"2,148,062.00",0.68,0.411,0.455,46145,0.17,0.43,0.15,10.44470141
ME,Maine,0.5309246,0.4402125,0.478302027,0.448697533,0.03,0.749944164,0.69,"819,461.00",0.784,0.436,0.397,56277,0.17,0.35,0.33,9.377285439
MD,Maryland,0.6536066,0.3215029,0.603257442,0.339093047,0.26,0.648485022,0.6,"3,037,030.00",0.723,0.545,0.313,80776,0.09,0.29,0.28,11.72371018
MA,Massachusetts,0.6560006,0.3214191,0.600050646,0.328083581,0.27,0.657152017,0.61,"3,631,402.00",0.68,0.541,0.292,77385,0.03,0.21,0.35,11.83650504
MI,Michigan,0.5062082,0.4783729,0.47274531,0.474975642,0,0.708856954,0.62,"5,539,302.00",0.734,0.437,0.388,54909,0.12,0.33,0.23,10.92031486
MN,Minnesota,0.5239506,0.4528513,0.464449186,0.449247881,0.02,0.752042651,0.69,"3,277,120.00",0.749,0.451,0.404,68388,0.13,0.32,0.25,10.74760238
MS,Mississippi,0.4106176,0.5759894,0.401147883,0.579410381,-0.18,0.581290363,0.53,"1,313,894.00",0.734,0.377,0.486,43529,0.27,0.5,0.12,9.543381147
MO,Missouri,0.4140878,0.5679966,0.381352308,0.567723478,-0.19,0.631106724,0.6,"3,025,962.00",0.723,0.39,0.473,53578,0.25,0.41,0.2,10.53450746
MT,Montana,0.4054937,0.5691847,0.357457653,0.561684975,-0.21,0.718682102,0.61,"603,674.00",0.713,0.347,0.508,53386,0.2,0.39,0.18,9.479560558
NE,Nebraska,0.3935886,0.5850993,0.336987564,0.587473511,-0.25,0.657823379,0.59,"951,712.00",0.663,0.362,0.486,59970,0.22,0.36,0.22,10.57937336
NV,Nevada,0.5005678,0.4766625,0.479178237,0.455006953,0.02,0.574371619,0.49,"1,405,376.00",0.618,0.411,0.426,58003,0.12,0.33,0.23,11.95849654
NH,New Hampshire,0.5270783,0.4535626,0.468349463,0.464672825,0,0.729892881,0.69,"806,182.00",0.708,0.407,0.45,73381,0.09,0.28,0.3,10.14175968
NJ,New Jersey,0.573342,0.4139652,0.554530845,0.413503867,0.14,0.666798017,0.56,"4,549,353.00",0.686,0.478,0.369,80088,0.03,0.29,0.27,12.21190956
NM,New Mexico,0.5428929,0.4349667,0.482557076,0.400424392,0.08,0.568059247,0.5,"923,965.00",0.617,0.444,0.389,46744,0.18,0.38,0.2,10.41261148
NY,New York,0.6087459,0.3774296,0.589771919,0.365023183,0.2,0.563450827,0.5,"8,611,075.00",0.625,0.529,0.318,64894,0.05,0.27,0.3,12.58047086
NC,North Carolina,0.4858619,0.4993435,0.461728662,0.498280947,-0.04,0.665876501,0.6,"5,524,804.00",0.693,0.432,0.417,52752,0.23,0.39,0.21,10.48763158
ND,North Dakota,0.3175676,0.6511405,0.272267395,0.629556278,-0.36,0.623066312,0.59,"361,819.00",0.734,0.321,0.53,61843,0.26,0.39,0.18,9.75558457
OH,Ohio,0.4523934,0.532713,0.435580763,0.516876507,-0.08,0.653293115,0.61,"5,922,202.00",0.702,0.404,0.455,54021,0.17,0.37,0.22,10.96856771
OK,Oklahoma,0.3228617,0.6537327,0.289316803,0.653228648,-0.36,0.516196391,0.49,"1,560,699.00",0.651,0.343,0.52,50051,0.31,0.43,0.18,10.29289962
OR,Oregon,0.5645332,0.4036725,0.50071852,0.390940352,0.11,0.708745482,0.62,"2,374,321.00",0.725,0.487,0.372,60212,0.2,0.32,0.28,11.03535791
PA,Pennsylvania,0.5001636,0.4883589,0.478536162,0.485778858,-0.01,0.682297668,0.61,"6,917,583.00",0.683,0.452,0.429,59195,0.18,0.34,0.24,11.20710083
RI,Rhode Island,0.5938809,0.3861309,0.544066066,0.388980575,0.16,0.612239991,0.55,"517,757.00",0.68,0.504,0.354,63870,0.07,0.29,0.25,11.71636557
SC,South Carolina,0.4343009,0.5511029,0.406734198,0.549393327,-0.14,0.615311143,0.54,"2,513,329.00",0.645,0.361,0.482,50570,0.26,0.41,0.16,10.29277309
SD,South Dakota,0.3560525,0.6176939,0.317374282,0.615307504,-0.3,0.633361173,0.57,"422,609.00",0.673,0.3,0.527,56521,0.23,0.44,0.13,9.568190997
TN,Tennessee,0.3745143,0.6066029,0.347163328,0.607220337,-0.26,0.568516974,0.49,"3,053,851.00",0.635,0.368,0.483,51340,0.37,0.43,0.17,10.39134118
TX,Texas,0.4647901,0.520576,0.43235258,0.522346856,-0.09,0.514546483,0.43,"11,315,056.00",0.633,0.386,0.425,59206,0.16,0.38,0.2,11.35211736
UT,Utah,0.3764605,0.5812984,0.274587027,0.455380359,-0.18,0.646861574,0.53,"1,488,289.00",0.684,0.286,0.562,68358,0.59,0.41,0.15,11.30766612
VT,Vermont,0.6608642,0.3067376,0.56677786,0.302694348,0.26,0.725061251,0.62,"367,428.00",0.69,0.552,0.297,57513,0.09,0.28,0.32,9.108415574
VA,Virginia,0.5410952,0.439955,0.497513528,0.44427647,0.05,0.67234218,0.61,"4,460,524.00",0.72,0.426,0.422,71535,0.16,0.33,0.24,11.07729498
WA,Washington,0.579703,0.3876698,0.517796297,0.363005416,0.16,0.678231078,0.58,"4,087,631.00",0.737,0.472,0.371,70979,0.14,0.28,0.31,11.30749751
WV,West Virginia,0.2969652,0.6863155,0.26476928,0.686305748,-0.42,0.564466156,0.49,"794,652.00",0.645,0.396,0.486,43469,0.37,0.45,0.17,9.48121912
WI,Wisconsin,0.4944954,0.4882244,0.464538414,0.472181846,-0.01,0.721644565,0.66,"3,298,041.00",0.728,0.43,0.408,59305,0.12,0.35,0.24,10.46581868
WY,Wyoming,0.2655357,0.6993623,0.218773574,0.681726331,-0.46,0.621776872,0.57,"276,765.00",0.635,0.27,0.608,60434,0.2,0.46,0.18,9.495933287